is_in_other_df,body
1,"📍Birzeit University 🇵🇸

*FALASTEEN HAS ENTERED THE CHAT*

images from @ Nazzal.BZU on Instagram 

#StudentIntifada https://t.co/eD8BL8gARH"
1,Dutch police use BULLDOZERS to destroy anti-Israel encampment at the University of Amsterdam. https://t.co/iHmOWPNeg9
1,ISRAEL IS HEAVILY BOMBING RAFAH https://t.co/8UB4NAHdoj
1,"American students protesting on campus for ""Palestine"" now converting to Islam.

Good luck when the current thing larping is over.

Yous do know the punishment for apostasy is death right? Right? https://t.co/RHppJAfY2V"
1,"Taking a walk in Salah Aldein Street. Looking for a sign to tell me this is the same street I used to see😭. I wanted to take a picture for the old city, I went there and I saw nothing, but destruction. Gaza, we promise we will rebuild you 🥹🧵 https://t.co/5Ae5irxqMs"
1,"The situation in Gaza is rapidly deteriorating. The Zionists are intensifying the bombing and the starvation.
#Ga@aHolocaust https://t.co/Uo8WODLGn9"
1,"A pro-israel mob assaults nonviolent protesters demonstrating for Palestine in Amsterdam, the Netherlands. https://t.co/Yv0Y9FNECr"
1,"🚨 The Palestinian resistance launched rockets/mortar at several targets in the Eshkol region, south of occupied Palestine https://t.co/bOrJgsGtaa"
1,The moment the IDF replaced the Nazi terrorist PLO flag in Rafah with the Israeli flag. https://t.co/XXkGCqpHfl
1,"If there’s 1 thing all Americans should be united on is your tax dollars are not being spent on America.

You’re literally working to fund Israel it’s a fcking scam!!

 https://t.co/CKkMZ7jEhX"
1,"BREAKING: Israel has launched a MASSIVE airstrike in Rafah.

Please keep sharing and praying  for Rafah.

ALL EYES ON RAFAH https://t.co/OIBL3Yv3kd"
1,"When far left protesters want something else!🍌

Palestine is an excuse🤪 https://t.co/ryKA3SaT5q"
1,Displaced people in Gaza try to leave Rafah after the Israeli occupation threatened to invade it. We are witnessing another holocaust https://t.co/HvvWdU4lO8
1,"“What are you willing to risk?
What are you willing to give?
What if you were in Gaza?
What if those were your kids?”

@macklemore is showing the world what artist solidarity looks like. This is phenomenal.

👇

 https://t.co/RdsQJ3CXsu"
1,"Breaking🚨⚡ 🇮🇱🇵🇸 

Israeli air strikes continue on more than 35 terrorist targets of Hamas in #Rafah, Southern Gaza.

👇👇
Today is a bad day for Hamas🤡

#Israel #RafahUnderAttack https://t.co/8vrqH3EA1h"
1,"Harvard students march to the University’s interim Presidents home, after being threatened with suspension for pro Palestine protests. Undeterred the students chanted in solidarity with Gaza last night. https://t.co/osyG4dpWYi"
1,The Capitol vs District 12 in real time https://t.co/bmWQEIPh5Q
1,GAZA CHILDREN WHILE THE WORLD IS WATCHING https://t.co/6nmbJ367F5
1,"Jews, Muslims and Christians in brotherhood -

The speaker was Rabbi Dovid Feldman.

Jews, Muslims and Christians come together to support Palestine.

PALESTINE WILL BE FREE 🇵🇸 https://t.co/kofj4yo37V"
1,"DON’T STOP TALKING ABOUT RAFAH.
DON’T STOP TALKING ABOUT PALESTINE. https://t.co/SH8q57gqBq"
1,Breaking🚨 Israel just bombed a large mall in Gaza. Just like terrorists did to Crocus mall in Moscow . https://t.co/fY74o07kuX
1,The Kuwait medical team leave Rafah as Israel invaded and kills everyone for safety reasons. They leave broken hearted at how heartless the Zionists are bombing the jam packed tents full of refugees that are mostly children. https://t.co/bSclp8g1hn
1,Moments Ago Worshippers at a mosque in Rafah were targeted by an Israeli airstrike https://t.co/6lNQ7LfohF
1,This is why Israel banned Al-Jazeera! https://t.co/j53YBr0sgk
1,"""The Israeli position now is anyone who disagrees with them is Hamas.""

Israel completely turned into literal Nazis 

https://t.co/Xgkw8d2x5x"
1,"How unfair this world is! 

#Rafah #MetGala https://t.co/bCK4VSBbFv"
1,GAZA children were injured by the ongoing Israeli air strikes in #Rafah https://t.co/ZlQelhlhAC
1,"I was sad because of what is happening in Rafah, and after watching this video, my heart calmed down a little. 🤲

This Palestinian man recites Adhan (the Muslim call to prayer) as Israeli occupation forces knock down his home in the village of Al-Jawaya. https://t.co/eyjKRQFNHH"
1,"If I am martyred, do not forget me. I am not just a number 

I bear witness that there is no god but God and that Muhammad is His Messenger. https://t.co/wocDwJHksW"
1,A short clip showing what it means to be living under Israeli genocide in Gaza for the past 215 days. https://t.co/c4uQ9fLyjB
1,Peace to the hearts https://t.co/ifo8ZpcD8S
1,"Since the beginning of the occupation of Trinity College in Dublin members of AIA have been involved on the ground supporting the students and taking an active part in events

From Ireland to Palestine- Occupation is a crime!

Free Palestine - Free the Occupied 6 Counties https://t.co/iCOUaSqF6G"
1,"In an unprecedented attack, Hezbollah launched 6 kamikaze drones at israeli army targets in the Upper Galilee.

Only 1 was intercepted, the rest successfully impacted their other targets.

Israel air defenses, including their air force tried to intercept the rest, but failed. https://t.co/OtEYGSs3FF"
1,"🚨Breaking: Palestinian children were injured by the ongoing Israeli air strikes in #Rafah.

A recurring scene every day in #Gaza Strip , children trembling with fear, terror, and pain for 214 days ! 

SHAME ON HUMANITY ‼️ https://t.co/ih92VLXMiM"
1,"This is why Israel banning TikTok in USA

A short clip showing what it means to be living under Israeli genocide in Gaza for the past 215 days.

https://t.co/tB8ZHlr4m2"
1,"🚨BREAKING: Within the last few minutes, prominent Spanish legislator and former minister, Ione Bellara, issues a resounding demand:

“Break relations with Israel, Mr. Sánchez [Spanish PM]. We cannot continue being complicit.”

#Gaza #Israel #Rafah #FreePalestine #Palestina https://t.co/LQFnIaKSR1"
1,"Billions of dollars of business is being disrupted with Israel taking control of the Rafah Crossing and soon the full border between Egypt and Gaza.

As smuggling and corruption is ended, the entry of war materials will be curtailed and non-contraband goods will be more… https://t.co/smcB4bh010"
1,"NEW: 🇮🇱🇪🇬 The IDF is now in control of the entire Philadelphi Axis along the Egyptian border in Gaza

This is a breach of the Egyptian-Israeli peace deal of 1979, also known as the Camp David Accords.

According to the agreement, Israel is not allowed to station any military… https://t.co/QL2tv4e9Ax"
1,"for anyone that is a visual learner, this video very clearly visualises what has been happening in palestine for the past 215 days. this will help you understand how and what the genocide has been like in palestine. it has never been about hamas, it has always been about… https://t.co/Sfq2RXJrmU"
1,"🚨 IOF warplanes are launching a wave of new airstrikes on eastern Rafah in the southern #Gaza Strip. Artillery continues to target the eastern region.

ISREAL HAS ALSO TOOK CONTROL OF THE RAFAH BORDER AND TRAPPED PALESTINIANS INSIDE AS THEY CONTINUE TO BOMB THEM! https://t.co/4kNhYv3VKK"
1,"Wien, Austria, Gaza solidarity encampment, the movement keeps crossing borders https://t.co/nV9ykxKDVt"
1,"🚨Students at 14 UK universities have now set up Gaza solidarity encampments, the latest being Oxford, Cambridge, Liverpool, Edinburgh, and SOAS.

They are demanding that their institutions cut ties with Israel. https://t.co/tXaweewwxV"
1,Former Syrian Muslim activist warns against Muslim radicalization in mosques within Israel. https://t.co/j9VIRhAZiY
1,Recent bombings in Rafah https://t.co/qLENAERTic
1,"A pro-Genocide Israel mob assaults nonviolent protesters demonstrating for Gaza Palestine in Amsterdam, the Netherlands.

 https://t.co/Gez23kX7th"
1,"Rafah under attack.
Israel does not want peace.
Israel does not want Hamas.
Israel does not want the hostages.
Israel wants Gaza. https://t.co/8IlDiAsQOQ"
1,I ♥️ Gaza and I fuckin' hate the IDF https://t.co/n09FUzaYCD
1,"I just read that Adnan Al-Bursh, the doctor from Al Shifa that Israel tortured to death, once performed 41 surgeries in 24 hours."
1,"Today as more innocent people die in Palestine, some hoping to. I’m thinking about the beginning when I saw Israel destroy their olive trees and the heartbreak I could feel and see in their eyes. https://t.co/MVL3UOQ4u1"
1,"🚨Suprise Suprise !
🇵🇸#HamasRapists tunnels uncovered in Rafah.
I thought it was a humanitarian zone? https://t.co/j9NBZMNXil"
1,LIFE IN GAZA https://t.co/FwgEGa8vO3
1,"🚨#BREAKING: New israeli airstrike on eastern Rafah near Al Jawazat area.

Israel continues to mass murder Palestinians… https://t.co/aZvD6OAEXj"
1,Hundreds of students in the Faculty of Social Sciences in Denmark join the global student movement in support of Palestine. https://t.co/fBBZkwJxRD
1,A professional football club in Chile replaces the number 1 with a map of Palestine 🇨🇱🇵🇸 https://t.co/VTujdjshCp
1,"The final call...🚨

My brothes, I implore your support more than ever. With your strength, we can reach our target within two days! I believe in you.

Feel free to retweet.
https://t.co/ez0rkRGWbv"
1,Now situation at the University of #Chicago https://t.co/Mc1tjRMy5Q
1,"History will write that one of the greatest treacheries committed by the Egyptian regime happened on May 07, 2024, under the dictatorship of Abdel-Fattah El-Sisi.

He sold out #Palestine and handed #Rafah border to Israel, allowing them to entirely besiege the #Gaza Strip.… https://t.co/gmZj5geJuW"
1,"Fania Nov. 2023: The genocide is necessary in order to free the hostages. Khamas BAD! CRUDE FORCE! 😡😡😡

Fania May 2024: We should've made a deal before sending the army into Gaza. It's all because of BIBI! BAD BAD BIBI! 😭😭😭 https://t.co/Ou3ZqjCjcv"
1,"Let's be clear: The Jewish people are NOT committing genocide. Israel is! And, no, Israel does not represent all Jews (no more than every Greek supports Greek state policies). Invoking the Jewish people to defend Israel's genocide is a vile form of antisemitism."
1,🚨 Jews in Mea Shearim welcome IOF with Palestinian Flags 🇵🇸 and Free Palestine chants 🚨 https://t.co/LoDgn0OLOd
1,"“OK, if we don't blow it up. we can always burn it”

Israeli officer Shahar Votaresko from the 401 brigade afront of a house he torched in Gaza. https://t.co/B6PzPKgB05"
1,"American Grammy-winning rapper Macklemore has released a new track, “Hind’s Hall,” which highlights the ongoing conflict in Palestine’s #Gaza and challenges the music industry’s response, including a jab at fellow artist Drake.

The song has gained wide attention and garnered… https://t.co/pmpeKbsg4n"
1,"An offensive on #Rafah would compromise the only fully functional maternity hospital in the #GazaStrip.

This would impact around 50,000 pregnant women in #Gaza: we need a #CeasefireNow and protection for sanitary facilities. https://t.co/3PWqKz6TsG"
1,"ISRAEL IS BOMBING RAFAH!

NETANYAHU IS A WAR CRIMINAL!

WHY IS THE WORLD SILENT?! https://t.co/haLKxMwZlU"
1,⚡️Rockets flying out of Gaza now towards Karam Abu Salem https://t.co/6LiVwk51JP
1,"#RAFAH 🇮🇱 ISRAEL'S ATTACKS ON RAFAH ARE MASSIVE. 👀
https://t.co/miIqTGARFj"
1,"Israel now fully controls Gaza after committing one of history's largest genocidal crimes, met with international silence and approval.

Gaza will not kneel. We will resist, fight back, react, &amp; act even in our last breath, there is no future for occupation on our land. https://t.co/r24Oh7I8Dq"
1,Outside UCL. Students sacrificing for #Gaza whilst the official armies of Arab &amp; Muslim countries do nothing. A state level military intervention is what is needed to counter a state level military occupation that is slaughtering a civilian population. https://t.co/gBLzMklUS3
1,Palestinian families set up tents over the rubble of their destroyed homes in Khan Younis after being forced to evacuate the eastern areas of Rafah. https://t.co/9WNXreWGal
1,⚡️Sirens sound in the southern #Gaza envelope settlements https://t.co/CDNCM2PX50
1,"From Rafah !

We are watching the worlds first genocide published in real time… https://t.co/5vmOTYcdAk"
1,daily reminder! #FreePalestine https://t.co/KH9ysNooGt
1,🚨BREAKING: Shocking footage surfaces of brutal police assaults on University of Amsterdam Gaza encampment protesters overnight. #Gaza #Israel #FreePalestine #GazaGenocide‌ https://t.co/HzXBKwXA7d
1,"""Guys, we've returned to Rafah after losing hope of finding another place for displacement. I hope tonight will be safe for us, and that the war will soon be over, because today, I shed enough tears to last a lifetime as we searched for a place to stay."" #Gaza"
1,New York witnesses brave protests in rejection of the Israeli genocidal war on Gaza and in solidarity with Palestinians. https://t.co/aS1Pkdnq2p
1,"We all need to stand with Israel.

That’s all I have to say about that. https://t.co/K3TJ9Pwdo9"
1,"Amirul Momineen Sheikh Hibatullah Akhundzada about Palestine and Muslims:

Our intentions for Afghans and Muslims worldwide, especially those in Palestine, are pure. May Allah grant us the strength. https://t.co/4dO2orfbwl"
1,"Israel is heavily bombarding the Rahaf which they turned into a Nazi concentration camp

https://t.co/IkoIL5hqNj"
1,"Some good news ❤️

After more than 5 months of being hospitalized due to medical complications resulting from captivity, former hostage Alma Avraham will be released from the hospital tomorrow.

Get well soon Alma

📸 Gadi Kablo https://t.co/5EqPzqT6d6"
