is_in_other_df,body
1,"Dear FBI,

Please schedule an appointment prior to showing up at my house in regard to the abundance of Fck Joe Biden posts I thoroughly enjoy putting on this social media platform.  

I’m a busy man.  

Regards,
Gunther"
1,".@kleavittnh: ""When Joe Biden was asked today whether or not he approved that proclamation, he said 'no I didn't""...Well news for Joe Biden: yes you did. Here it is--his own writing. So either Joe Biden is unaware of what his White House is doing or he's lying."" https://t.co/IIfmJr6UCb"
1,"AMERICAN VOTER: “So, when Trump is facing all these things, he’s doing it for US... When they’re indicting him, WE’RE being indicted. When they talk negative about him, they talk negative about US!”

They’re not after him. They’re after us…
https://t.co/M7EN9pub8j"
1,"The Biden campaign is holding a press conference criticizing President Trump for attending the wake of fallen NYPD Detective Jonathan Diller.

Not only did Biden not show up (despite being in NYC the same day), he hasn't even said Det. Diller's name. https://t.co/TmHgBOJxXP"
1,"NEARLY 40% say Biden doesn't have a single big accomplishment after 3yrs.

40% of young voters say the economy is their top issue.

OVER HALF say they're worse off today than under Trump.

There's a reason Biden built his campaign on flagrant lies, obfuscation &amp; ignoring context. https://t.co/qHmcdi25FJ"
1,"Let's hear it for Archbishop Wilton Daniel Gregory calling out Biden for being a ""cafeteria Catholic."" https://t.co/QddZO2aevZ"
1,Can anyone see this Fuck Joe Biden post...?
1,"Biden always says the quiet part out loud.  

I guess that’s the only slight benefit of his senility. https://t.co/PIgIHaydka"
1,"CBS: ""What are your favorite memories in the White House?""

Biden: ""Our kids jumping in bed with us, our grandkids when they're down here. Them sneaking up and jumping in bed with us."" https://t.co/gk7GFfKwKf"
1,"Quality of life sure has decreased under Biden. 

Life was much better under Trump.

Who is voting Trump in November NOW MORE THAN EVER? https://t.co/B7oBIMXSY9"
1,"BREAKING: Former President Trump said that he would have “no choice” but to conduct mass deportations of illegal migrants from the United States once back in the White House.

“I have no choice. I have no choice. No country can sustain what this man (Biden) has done. He is the…"
1,MAGA has done far more damage to conservatism than Democrats will ever do... https://t.co/qdOKOGa7XN
1,"🚨BREAKING | NEW MILITARY SALE TO ISRAEL FROM THE US.

The Biden administration is close to approving the sale of 50 F15 fighters to Israel, worth $18 billion.

The deal will be the largest US military sale to Israel since the October 7 attack

Source:CNN https://t.co/2GftAYqyX2"
1,The Storm is right behind me 👀 Trump 💥💥💥 https://t.co/WfQDhx16JR
1,🚨BREAKING: Former NBA player Royce White has endorsed Donald Trump for President. https://t.co/KpCcfaTSDX
1,"BREAKING: Nivenson Sarazin, an illegal from Haiti was just arrested in Florida after he s*xually assa*lted a 10-year-old girl.

He was also found to be in possession of child p*rnography. 

Biden's open border policies are harming our children!

SOURCE:https://t.co/SWcZvAI18e https://t.co/B6vls2lQb6"
1,First Lady Biden recognized me and said “You’re everywhere aren’t you?” 😂 https://t.co/TqXKWckpAe
1,"Biden is sending more fighter jets to a rabid out of control rightwing government that just blew up an Iranian embassy. This US president is a liability for the entire world. 

Trump is your 99% Hitler now"
1,#CryBabyTrump is afraid of #LOSING AGAIN to our #USPresidentJoeBiden. #Trump is a #SoreLoser🤣 https://t.co/Zrr65KNOhs
1,"Get ready Bitches 
We are coming for leftovers now. 

🙏🙏🙏🙏🙏🙏🙏🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸✝️✝️✝️✝️ https://t.co/BazdkhznAG"
1,"“Once again, Joe Biden’s policies are slitting the throat of the American economy!” 👇 https://t.co/3REoT8cktR"
1,Remember when the black pillers told you Trump and MAGA was finished in 2021? https://t.co/Kpw9BCgYGS
1,Every day feels like April Fools’ Day in Joe Biden’s America.
1,My son said he wanted to catch a shark today. Job well done. ❤️ https://t.co/tKZZobmIrj
1,"Leslie Jones: ""How do you not look at Trump and not see criminal?""
""Do you think it's apathy, laziness, insanity?""
""I think it's uneducation. I think it's what they're fed. You can go into different states and they have different type of news media.""
Mrs. T pities the fool who… https://t.co/YavSx5kRUJ"
1,It’s a Biden thing. https://t.co/U69Qz39Xl7
1,"WATCH:  Catholic nun speaks the truth, slams Biden as ""inept and evil""

""If Donald Trump gets reelected it’s a complete act of God. Governments no longer serve God or the People. We are in a complete war between Good and Evil.""

""We are up against not just an election, but an… https://t.co/Eqbi5zk3ZG"
