is_in_other_df,body
1,North African immigrant beats a French boy even after he raised his hands in a sign of surrender. The others film and no one intervenes. Intolerable. https://t.co/Q868dInMXc
0,"Dominion awaits, come be a hero! Like the man said: heroes get remembered, but legends never die. Step up to the plate in Hero Wars and start swinging👇"
1,North African immigrant makes his son urinate on an Italian police car out of contempt for Italy while his compatriots film and laugh. We hope that with this video they can be traced and sent back to where they came from. https://t.co/7qQykItl9E
1,North African immigrant in Milan harassed girls on train but finds the wrong Italians. https://t.co/CGcW11AqFk
1,"In Spain, an illegal immigrant takes an elderly woman hostage.

Cops arrive, bang bang bang 💥 

Crowd all cheers 🙌🏼 🇪🇸 https://t.co/CwA3Cj68pi"
1,The immigrant league: https://t.co/GaFPq1RR8P
1,"Do you think this dance will help discourage migrant men attacking women in Finland? 

 https://t.co/wfmqURhnRy"
1,"Stay on top of cloud security knowledge with TrustOnCloud! 120+ services, easy-to-explore threat models, and quarterly updates. Get confident through knowledge!"
1,Arizona Republican says he’ll vote for President Biden: Trump said immigrants poison the blood of America. My mother was an immigrant. That’s poison I can deal with https://t.co/fRDIEwf7kv
1,"“If you can't control your borders...then it would imply that you're not in control of your country.”

It’s a “disaster” that people “have lost faith” in the government’s ability to control immigration, @Fox_Claire tells #TimesRadio. https://t.co/2z5rqiTEkc"
1,"Third World ‘diversity’ on display in London… they call this a ‘strength’? 
Make London British Again.
Vote ‘Britain First - No to immigration’ in the London Mayor and Assembly elections. https://t.co/ZtsLwhIdc3"
1,"In memory of Pamela, a beautiful Italian girl. She was only 18 years old when an illegal African immigrant kidnapped her, tortured her, kiIIled her, chopped up her body, cannibaIized her, locked her in a suitcase and threw her on the street. In a wiretap, the kiIIer is heard… https://t.co/yjQiuIv6sX"
1,"The EU migration pact is being sold in the run in to the rlections as an effort to curb immigration into Ireland. In fact it involves, yet again, a ceding of sovereignty and gives an utterly dishonest government an excuse to inflict even more damage on the wounded Nation of… https://t.co/neXRlYcomC"
1,"Somalian refugee pocketed £39k in benefits after secretly returning to his homeland because he 'missed the sunshine'
Mohamed Qoomaall forged an immigration stamp on his British passport and had pension credit payments sent to him for two-and-a-half years as a friend enjoyed… https://t.co/vjzJ2hJOxp"
1,"⚡️The Israeli migrant soldiers are scared of flags because of this historic ambush on the borders of #Gaza 

The Flag Ambush https://t.co/oPbGmKnqaR"
1,Welcome to the Immigrant Dad Talk Show https://t.co/4vb11nwTX5
1,📚 Ever wished you could read a book in 10 minutes? Shortform both summarizes and annotates the key points of over 1000 nonfiction books. Take control of your learning journey.
1,"Give Australians a Say on Immigration!
Australians have never been asked what they think is a fair amount of #immigration. The Lib-Lab parties both advocate for high immigration and because many different issues go towards deciding which party to vote for on polling day,… https://t.co/ZZzwJBzSSi"
1,"🚨🇸🇪 Sweden - Mass immigration 

“The immigration is ruthless to Sweden - they have betrayed the Swedish people”

“If I had a daughter I’d follow her with a shotgun” 

Swedens’ cities are now unrecognisable- the demographics changed deliberately within only a short time. 

Crime… https://t.co/sPBrtGfl96"
1,"Malawians and Nigerians can relate with this US illegal immigrant.

Illegal immigration is the only crime the perpetrators are unapologetic about their crime and and rub their crime in our face.

Their entitlement is universal. https://t.co/aCDFTQU5SN"
1,Always protect your woman.  This will be our reality as more and more migrants flood our homelands.  #Immigration #IrelandisFull #Diversity #BorderCrisis https://t.co/njT3LKBHoA
1,Me losing points on my migrant FPL team after my favourite Albanian smuggler gets arrested https://t.co/UW2DfASGxc
