is_in_other_df,body
0,"Received this from a follower. A homeless man in California attacked a bystander on the side of the road. When she tried to call the police, she was put on hold. The police never showed up as this poor man was beaten.

Just another typical day in California! https://t.co/TyUqMK1O7v"
0,EVEN KENDALL JENNER KNOWS!!!😂😂😂 #MetGala https://t.co/U0AzEBispw
0,"Even after thoroughly checking their political views, what news they follow, and their pre-existing opinions, trying to find a truly unbiased jury for Trump in New York City, a place known for its strong Democratic leanings, is still really challenging."
0,"Mark Zuckerberg, known for his Climate Change activism, shows off his new $300 million mega yacht.

Zuck's 287-foot mega yacht is powered by four MTU diesel engines and can reach a top speed of 24 knots.

America's elites are laughing right in our faces.
https://t.co/u5n3hicRNf"
0,"Biden Tries to Make a Joke About Wanting to ‘Cut’ Trump, Bombs Terribly https://t.co/aoIFkAJq30"
0,"TRUMP: ""It's a ridiculous case. I did nothing wrong—The judge is totally conflicted. He's taking my constitutional right away to speak.. It's a fake trial. They have no case.. This is a Biden trial."" https://t.co/s55ibvEJDl"
0,Breaking: Social Security benefits to be cut starting in 2035 without congressional action: Trustees https://t.co/mt5nIoIdWR
0,"At the pro-Hamas autonomous zone encampment at the University of Amsterdam @UvA_Amsterdam, its inhabitants chased and beat people on the head with wooden planks. https://t.co/fH4rJWHDNr"
0,*UBER AND INSTACART TEAM UP ON RESTAURANT DELIVERIES
0,"IT'S HAPPENING

AstraZeneca have STOPPED producing their covid injection and it is being WITHDRAWN from the market.

This is huge. 

SHARE - Almost nothing about this on the news yet💪"
0,I will take questions for a few minutes:
0,"Police are now clashing with demonstrators at the University of Chicago, my alma mater. Notably, faculty have pledged to be arrested with the students who are refusing to leave the encampment..."
0,"The Palestinian protesters are the most anti-American that this country has ever seen.
https://t.co/ss7temjOmw"
0,"Police taking down Gaza Camp at UChicago.

It stayed up for several days after the university president said it could not continue last Friday.
https://t.co/QXU7QxnEnf"
0,I was just invited on a show by a high-profile host whom I would not have expected to reach out to me. It’s very encouraging to chat with people coming from a very different political stance.  Looking forward to having my ideas shared with a new audience.
0,ALERT: Pro-Hamas protesters are being arrested outside the Met Gala hours after Columbia University canceled its graduation because it can't keep the mobs under control. https://t.co/g9oq2bSQNh
0,Luxurious bubble submarine set to take passengers into depths of the sea https://t.co/wCwdF7vUvg
0,I can’t believe how much people hate “Market Makers”
0,Ep. 102  Che Guevara was executed in 1967 in a remote Bolivian village. One of the last people to speak to him alive was CIA officer Felix Rodriguez. Here’s his story. https://t.co/G8QM9kvFFe
0,ALL I DID WAS RUN FOR PRESIDENT!!!🇺🇸😎🤣🤣🤣 https://t.co/1bbnJOeFKg
0,GM Christ is King
0,"A tornado hit the Hampton Inn in Bartlesville, Oklahoma! 
A nursing home was hit in Barnsdoll. https://t.co/cTxwM8hah7"
0,Karine Jean-Pierre says Americans have never been safer and that crime is at a 50-year low. No one believes this. https://t.co/YpXzjVDJAG
0,"Unless you are America First, you shouldn’t be allowed to hold office in the USA"
0,THOUGHTS? https://t.co/lWXP3BS1CX
0,"NEW: Based on new revelations of evidence disruption and potential tampering, Judge Cannon has postponed a key deadline in classified docs case. This is related to special guidance (CIPA) in classified docs matters.

She is done with Jack Smith's game-playing https://t.co/jorDHWl3Dv"
0,Coming up on @foxandfriends ☀️☕️
0,I’m chaperoning my son’s 8th grade class trip to DC….Wish me luck🤣
0,It takes oil &amp; gas to make every solar panel &amp; every electric vehicle &amp; every wind turbine. Think about that next time you talk about “net zero”.
0,Will the democrats cheat in the 2024 election…?
0,"Michael Cohen represents to me every fake/lying anti-Trumper.  He is Schiff, Raskin, Swalwell, and the entire staff of MSNBC. The more we see of Cohen, the better."
0,"The more I learn, the more troubled I have become about giving puberty blockers to youth. Minors cannot drive, vote, join the army, get a tattoo, smoke, or drink, because we know that children do not fully understand the consequences of decisions with life-long ramifications. The…"
0,"I couldn’t legally drink a shot of Tequila until I was 21 but you’re telling me a toddler is mature enough to decide on his own that he doesn’t want his penis anymore? 

Make that make sense."
0,I would love to see Elon add disappearing messages and default encryption to X's messaging app.
1,"📍Birzeit University 🇵🇸

*FALASTEEN HAS ENTERED THE CHAT*

images from @ Nazzal.BZU on Instagram 

#StudentIntifada https://t.co/eD8BL8gARH"
1,Dutch police use BULLDOZERS to destroy anti-Israel encampment at the University of Amsterdam. https://t.co/iHmOWPNeg9
1,ISRAEL IS HEAVILY BOMBING RAFAH https://t.co/8UB4NAHdoj
1,"American students protesting on campus for ""Palestine"" now converting to Islam.

Good luck when the current thing larping is over.

Yous do know the punishment for apostasy is death right? Right? https://t.co/RHppJAfY2V"
1,"Taking a walk in Salah Aldein Street. Looking for a sign to tell me this is the same street I used to see😭. I wanted to take a picture for the old city, I went there and I saw nothing, but destruction. Gaza, we promise we will rebuild you 🥹🧵 https://t.co/5Ae5irxqMs"
1,"The situation in Gaza is rapidly deteriorating. The Zionists are intensifying the bombing and the starvation.
#Ga@aHolocaust https://t.co/Uo8WODLGn9"
1,"A pro-israel mob assaults nonviolent protesters demonstrating for Palestine in Amsterdam, the Netherlands. https://t.co/Yv0Y9FNECr"
1,"Jews, Muslims and Christians in brotherhood -

The speaker was Rabbi Dovid Feldman.

Jews, Muslims and Christians come together to support Palestine.

PALESTINE WILL BE FREE 🇵🇸 https://t.co/kofj4yo37V"
1,"🚨 The Palestinian resistance launched rockets/mortar at several targets in the Eshkol region, south of occupied Palestine https://t.co/bOrJgsGtaa"
1,The moment the IDF replaced the Nazi terrorist PLO flag in Rafah with the Israeli flag. https://t.co/XXkGCqpHfl
1,"If there’s 1 thing all Americans should be united on is your tax dollars are not being spent on America.

You’re literally working to fund Israel it’s a fcking scam!!

 https://t.co/CKkMZ7jEhX"
1,"BREAKING: Israel has launched a MASSIVE airstrike in Rafah.

Please keep sharing and praying  for Rafah.

ALL EYES ON RAFAH https://t.co/OIBL3Yv3kd"
1,"When far left protesters want something else!🍌

Palestine is an excuse🤪 https://t.co/ryKA3SaT5q"
1,Displaced people in Gaza try to leave Rafah after the Israeli occupation threatened to invade it. We are witnessing another holocaust https://t.co/HvvWdU4lO8
1,"“What are you willing to risk?
What are you willing to give?
What if you were in Gaza?
What if those were your kids?”

@macklemore is showing the world what artist solidarity looks like. This is phenomenal.

👇

 https://t.co/RdsQJ3CXsu"
1,"Breaking🚨⚡ 🇮🇱🇵🇸 

Israeli air strikes continue on more than 35 terrorist targets of Hamas in #Rafah, Southern Gaza.

👇👇
Today is a bad day for Hamas🤡

#Israel #RafahUnderAttack https://t.co/8vrqH3EA1h"
1,"Harvard students march to the University’s interim Presidents home, after being threatened with suspension for pro Palestine protests. Undeterred the students chanted in solidarity with Gaza last night. https://t.co/osyG4dpWYi"
1,The Capitol vs District 12 in real time https://t.co/bmWQEIPh5Q
1,"DON’T STOP TALKING ABOUT RAFAH.
DON’T STOP TALKING ABOUT PALESTINE. https://t.co/SH8q57gqBq"
1,GAZA CHILDREN WHILE THE WORLD IS WATCHING https://t.co/6nmbJ367F5
1,Breaking🚨 Israel just bombed a large mall in Gaza. Just like terrorists did to Crocus mall in Moscow . https://t.co/fY74o07kuX
1,The Kuwait medical team leave Rafah as Israel invaded and kills everyone for safety reasons. They leave broken hearted at how heartless the Zionists are bombing the jam packed tents full of refugees that are mostly children. https://t.co/bSclp8g1hn
1,Moments Ago Worshippers at a mosque in Rafah were targeted by an Israeli airstrike https://t.co/6lNQ7LfohF
1,This is why Israel banned Al-Jazeera! https://t.co/j53YBr0sgk
1,"🚨 IOF warplanes are launching a wave of new airstrikes on eastern Rafah in the southern #Gaza Strip. Artillery continues to target the eastern region.

ISREAL HAS ALSO TOOK CONTROL OF THE RAFAH BORDER AND TRAPPED PALESTINIANS INSIDE AS THEY CONTINUE TO BOMB THEM! https://t.co/4kNhYv3VKK"
1,GAZA children were injured by the ongoing Israeli air strikes in #Rafah https://t.co/ZlQelhlhAC
1,"How unfair this world is! 

#Rafah #MetGala https://t.co/bCK4VSBbFv"
1,"""The Israeli position now is anyone who disagrees with them is Hamas.""

Israel completely turned into literal Nazis 

https://t.co/Xgkw8d2x5x"
1,"If I am martyred, do not forget me. I am not just a number 

I bear witness that there is no god but God and that Muhammad is His Messenger. https://t.co/wocDwJHksW"
1,"I was sad because of what is happening in Rafah, and after watching this video, my heart calmed down a little. 🤲

This Palestinian man recites Adhan (the Muslim call to prayer) as Israeli occupation forces knock down his home in the village of Al-Jawaya. https://t.co/eyjKRQFNHH"
1,A short clip showing what it means to be living under Israeli genocide in Gaza for the past 215 days. https://t.co/c4uQ9fLyjB
1,Peace to the hearts https://t.co/ifo8ZpcD8S
1,"Since the beginning of the occupation of Trinity College in Dublin members of AIA have been involved on the ground supporting the students and taking an active part in events

From Ireland to Palestine- Occupation is a crime!

Free Palestine - Free the Occupied 6 Counties https://t.co/iCOUaSqF6G"
1,"In an unprecedented attack, Hezbollah launched 6 kamikaze drones at israeli army targets in the Upper Galilee.

Only 1 was intercepted, the rest successfully impacted their other targets.

Israel air defenses, including their air force tried to intercept the rest, but failed. https://t.co/OtEYGSs3FF"
1,"This is why Israel banning TikTok in USA

A short clip showing what it means to be living under Israeli genocide in Gaza for the past 215 days.

https://t.co/tB8ZHlr4m2"
1,"🚨Breaking: Palestinian children were injured by the ongoing Israeli air strikes in #Rafah.

A recurring scene every day in #Gaza Strip , children trembling with fear, terror, and pain for 214 days ! 

SHAME ON HUMANITY ‼️ https://t.co/ih92VLXMiM"
1,"🚨BREAKING: Within the last few minutes, prominent Spanish legislator and former minister, Ione Bellara, issues a resounding demand:

“Break relations with Israel, Mr. Sánchez [Spanish PM]. We cannot continue being complicit.”

#Gaza #Israel #Rafah #FreePalestine #Palestina https://t.co/LQFnIaKSR1"
1,"Billions of dollars of business is being disrupted with Israel taking control of the Rafah Crossing and soon the full border between Egypt and Gaza.

As smuggling and corruption is ended, the entry of war materials will be curtailed and non-contraband goods will be more… https://t.co/smcB4bh010"
1,"for anyone that is a visual learner, this video very clearly visualises what has been happening in palestine for the past 215 days. this will help you understand how and what the genocide has been like in palestine. it has never been about hamas, it has always been about… https://t.co/Sfq2RXJrmU"
